127.0.0.1 - - [24/Apr/2017:09:12:47 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:08 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:08 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:09 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:09 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:10 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:17 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:17 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:22 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 12430
0:0:0:0:0:0:0:1 - - [24/Apr/2017:10:54:22 -0500] "GET /CreationContenido/js/configracion/VerNivel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:13:22 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493050402174&tipo=1&nivel=1 HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Apr/2017:11:19:59 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493050799058&tipo=2&nivel=1&nivgrado=4&tieneMat=true HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:01:14 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493053274079&tipo=2&nivel=1&nivgrado=4&tieneMat=true HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:04:28 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 8982
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:04:28 -0500] "GET /CreationContenido/js/materia/Importar.js HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:44:27 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 12430
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:45:05 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493055905509&tipo=1&nivel=1 HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Apr/2017:12:45:09 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493055909853&tipo=2&nivel=3&nivgrado=3&tieneMat=false HTTP/1.1" 200 1795
0:0:0:0:0:0:0:1 - - [24/Apr/2017:13:00:21 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493056821891&tipo=1&nivel=3 HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:48 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:48 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:49 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:50 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:52 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:52 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:54 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:55 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:58 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 12430
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:00:58 -0500] "GET /CreationContenido/js/configracion/VerNivel.js HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 12430
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/js/configracion/VerNivel.js HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:27 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:29 -0500] "GET /CreationContenido/ModificaNivelGrado?query=1493071529733&tipo=1&nivel=1 HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:29 -0500] "GET /CreationContenido/css/images/ui-icons_444444_256x240.png HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:29 -0500] "GET /CreationContenido/css/images/ui-icons_555555_256x240.png HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:29 -0500] "GET /CreationContenido/css/images/ui-icons_777777_256x240.png HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [24/Apr/2017:17:05:31 -0500] "GET /CreationContenido/css/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
