127.0.0.1 - - [10/May/2017:08:56:29 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/May/2017:08:56:53 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2017:08:56:53 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [10/May/2017:08:56:56 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2017:08:56:57 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [10/May/2017:08:57:06 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2017:08:57:06 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [10/May/2017:08:58:21 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [10/May/2017:08:58:21 -0500] "GET /CreationContenido/js/materia/VerArchivos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2017:09:07:55 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 304 -
