127.0.0.1 - - [06/Jun/2017:11:21:53 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:00 -0500] "GET /CreationContenido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:00 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/js/Error.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:22:02 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:23:21 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:23:21 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:23:21 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:24:33 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:24:33 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4013
0:0:0:0:0:0:0:1 - - [06/Jun/2017:11:24:33 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
