127.0.0.1 - - [13/Jul/2017:09:06:16 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:11:32 -0500] "GET /CreationContenido/BusUsu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:11:32 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:11:34 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:11:38 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:11:39 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:37 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 9415
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:38 -0500] "GET /CreationContenido/js/materia/Importar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:40 -0500] "POST /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:40 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:40 -0500] "GET /CreationContenido/js/Error.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:44 -0500] "POST /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:23:44 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:24:48 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:24:48 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:24:51 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:24:52 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:25:02 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 9415
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:25:05 -0500] "POST /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:25:05 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:26:34 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 21751
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:26:37 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 21743
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:26:38 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 21751
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:29:52 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 10398
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:35 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:36 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:36 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:36 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:38 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:38 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:31:41 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:33:57 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:34:03 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 9320
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:34:03 -0500] "GET /CreationContenido/js/materia/Importar.js HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:34:07 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 10303
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:34:09 -0500] "POST /CreationContenido/Importar HTTP/1.1" 200 13918
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:35:27 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:35:30 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:35:34 -0500] "GET /CreationContenido/ModificaMat?tipo=1&back=1&cveMat=CURSOPROPL HTTP/1.1" 200 11067
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:35:34 -0500] "GET /CreationContenido/js/materia/ModificaMat.js HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:36:57 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:37:00 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 16665
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:37:03 -0500] "GET /CreationContenido/ModificaMat?tipo=1&back=1&cveMat=TEST HTTP/1.1" 200 11005
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:37:05 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:37:50 -0500] "GET /CreationContenido/ModificaMat?tipo=2&back=1 HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [13/Jul/2017:09:37:53 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9903
